# DERIVED by tools/build_reachable.py -- do not hand-edit.
# Every pair of chargeable natural shelf rows, expanded to a fixpoint
# with all 67 'family' templates and a 400-species cap.
# a | b | species | reactions | stop | frontier
#
# A capped pair is a LOWER bound on its own reaction count, and the
# total is a lower bound on what a shelf holds: a reaction needing a
# third starting material is invisible to a sweep over pairs.
#! natural_rows = 37
#! pairs = 666
#! distinct_reactions = 23140
#! templates_fired = 37
#! capped_pairs = 271
#! inert_pairs = 347
#! crashed_pairs = 0
#! templates = 67
#! tier = family
#! silent_templates = alcohol_halide_substitution, aldofuranose_dehydration, alkene_hydrodimerisation, alkyne_hydration, allylic_ammoxidation, amide_methylolation, aromatic_nitration, cannizzaro_disproportionation, carbanion_alkylation, cyanide_imine_addition, hydroformylation_branched, hydroformylation_linear, hydroxymethylfurfural_rehydration, intramolecular_williamson, ketene_acid_addition, ketofuranose_dehydration, knoevenagel_doebner_condensation, kolbe_schmitt_carboxylation, methane_ammoxidation, mineral_oxyacid_dissociation, n_acylation, nitric_oxide_reoxidation, nitro_hydrogenation, perkin_condensation, skraup_cyclisation, steam_reforming, sulfur_dioxide_oxidation_by_nitrogen_dioxide, sulfur_trioxide_hydration, wacker_oxidation, williamson_ether_synthesis
# the ten busiest templates, distinct reactions each
# (a reverse counts toward its forward, as in templates_fired):
#    10270  ether_condensation
#     9238  fischer_esterification
#     2455  friedel_crafts_hydroxyalkylation
#      520  transesterification
#      316  alkene_hydration
#       66  alkene_dehydration
#       54  ester_hydrolysis
#       40  aerobic_oxidation
#       33  alkene_hydrogenation
#       30  carboxylic_acid_dissociation
#
calcium-sulfate | starch-unit | 400 | 736 | capped | 370
calcium-sulfate | sucrose | 400 | 401 | capped | 353
calcium-sulfate | sulfur-s8 | 10 | 0 | fixpoint | 0
calcium-sulfate | tannic-acid-core | 400 | 420 | capped | 372
calcium-sulfate | triolein | 10 | 0 | fixpoint | 0
calcium-sulfate | water | 14 | 4 | fixpoint | 0
calcium-sulfate | zinc-sulfide | 10 | 0 | fixpoint | 0
carbon-dioxide | carbon-graphite | 9 | 0 | fixpoint | 0
carbon-dioxide | cellulose-unit | 400 | 738 | capped | 372
carbon-dioxide | citronellal | 9 | 0 | fixpoint | 0
carbon-dioxide | copper-sulfide | 9 | 0 | fixpoint | 0
carbon-dioxide | eugenol | 9 | 0 | fixpoint | 0
carbon-dioxide | glucose | 400 | 738 | capped | 372
carbon-dioxide | gypsum | 20 | 12 | fixpoint | 0
carbon-dioxide | indican | 400 | 480 | capped | 380
carbon-dioxide | iron-ii-sulfate | 9 | 0 | fixpoint | 0
carbon-dioxide | iron-ii-sulfide | 10 | 0 | fixpoint | 0
carbon-dioxide | iron-iii-oxide | 8 | 0 | fixpoint | 0
carbon-dioxide | lead-sulfide | 9 | 0 | fixpoint | 0
carbon-dioxide | lignin-monomer-coniferyl | 400 | 518 | capped | 329
carbon-dioxide | magnesium-carbonate | 10 | 0 | fixpoint | 0
carbon-dioxide | mercury-sulfide | 9 | 0 | fixpoint | 0
carbon-dioxide | nitrogen | 9 | 0 | fixpoint | 0
carbon-dioxide | oleic-acid | 9 | 0 | fixpoint | 0
carbon-dioxide | oxygen | 9 | 0 | fixpoint | 0
carbon-dioxide | potassium-nitrate | 10 | 0 | fixpoint | 0
carbon-dioxide | salicin | 400 | 630 | capped | 375
carbon-dioxide | silver | 9 | 0 | fixpoint | 0
carbon-dioxide | sodium-chloride | 10 | 0 | fixpoint | 0
carbon-dioxide | sodium-nitrate | 10 | 0 | fixpoint | 0
carbon-dioxide | starch-unit | 400 | 738 | capped | 372
carbon-dioxide | sucrose | 400 | 402 | capped | 354
carbon-dioxide | sulfur-s8 | 9 | 0 | fixpoint | 0
carbon-dioxide | tannic-acid-core | 400 | 421 | capped | 373
carbon-dioxide | triolein | 9 | 0 | fixpoint | 0
carbon-dioxide | water | 18 | 12 | fixpoint | 0
carbon-dioxide | zinc-sulfide | 9 | 0 | fixpoint | 0
carbon-graphite | cellulose-unit | 400 | 737 | capped | 371
carbon-graphite | citronellal | 9 | 0 | fixpoint | 0
carbon-graphite | copper-sulfide | 9 | 0 | fixpoint | 0
carbon-graphite | eugenol | 9 | 0 | fixpoint | 0
carbon-graphite | glucose | 400 | 737 | capped | 371
carbon-graphite | gypsum | 15 | 4 | fixpoint | 0
carbon-graphite | indican | 400 | 480 | capped | 380
carbon-graphite | iron-ii-sulfate | 9 | 0 | fixpoint | 0
carbon-graphite | iron-ii-sulfide | 10 | 0 | fixpoint | 0
carbon-graphite | iron-iii-oxide | 8 | 0 | fixpoint | 0
carbon-graphite | lead-sulfide | 9 | 0 | fixpoint | 0
carbon-graphite | lignin-monomer-coniferyl | 400 | 518 | capped | 331
carbon-graphite | magnesium-carbonate | 10 | 0 | fixpoint | 0
carbon-graphite | mercury-sulfide | 9 | 0 | fixpoint | 0
carbon-graphite | nitrogen | 9 | 0 | fixpoint | 0
carbon-graphite | oleic-acid | 9 | 0 | fixpoint | 0
carbon-graphite | oxygen | 9 | 0 | fixpoint | 0
carbon-graphite | potassium-nitrate | 10 | 0 | fixpoint | 0
carbon-graphite | salicin | 400 | 630 | capped | 375
carbon-graphite | silver | 9 | 0 | fixpoint | 0
carbon-graphite | sodium-chloride | 10 | 0 | fixpoint | 0
carbon-graphite | sodium-nitrate | 10 | 0 | fixpoint | 0
carbon-graphite | starch-unit | 400 | 737 | capped | 371
carbon-graphite | sucrose | 400 | 402 | capped | 354
carbon-graphite | sulfur-s8 | 9 | 0 | fixpoint | 0
carbon-graphite | tannic-acid-core | 400 | 421 | capped | 373
carbon-graphite | triolein | 9 | 0 | fixpoint | 0
carbon-graphite | water | 13 | 4 | fixpoint | 0
carbon-graphite | zinc-sulfide | 9 | 0 | fixpoint | 0
cellulose-unit | citronellal | 400 | 737 | capped | 371
cellulose-unit | copper-sulfide | 400 | 737 | capped | 371
cellulose-unit | eugenol | 400 | 737 | capped | 371
cellulose-unit | glucose | 400 | 738 | capped | 372
cellulose-unit | gypsum | 400 | 736 | capped | 365
cellulose-unit | indican | 400 | 690 | capped | 341
cellulose-unit | iron-ii-sulfate | 400 | 737 | capped | 371
cellulose-unit | iron-ii-sulfide | 400 | 736 | capped | 370
cellulose-unit | iron-iii-oxide | 400 | 738 | capped | 372
cellulose-unit | lead-sulfide | 400 | 737 | capped | 371
cellulose-unit | lignin-monomer-coniferyl | 400 | 640 | capped | 365
cellulose-unit | magnesium-carbonate | 400 | 736 | capped | 370
cellulose-unit | mercury-sulfide | 400 | 737 | capped | 371
cellulose-unit | nitrogen | 400 | 737 | capped | 371
cellulose-unit | oleic-acid | 400 | 774 | capped | 366
cellulose-unit | oxygen | 400 | 740 | capped | 369
cellulose-unit | potassium-nitrate | 400 | 736 | capped | 370
cellulose-unit | salicin | 400 | 720 | capped | 331
cellulose-unit | silver | 400 | 737 | capped | 371
cellulose-unit | sodium-chloride | 400 | 736 | capped | 370
cellulose-unit | sodium-nitrate | 400 | 736 | capped | 370
cellulose-unit | starch-unit | 400 | 723 | capped | 331
cellulose-unit | sucrose | 400 | 684 | capped | 295
cellulose-unit | sulfur-s8 | 400 | 737 | capped | 371
cellulose-unit | tannic-acid-core | 400 | 723 | capped | 336
cellulose-unit | triolein | 400 | 661 | capped | 364
cellulose-unit | water | 400 | 738 | capped | 367
cellulose-unit | zinc-sulfide | 400 | 737 | capped | 371
citronellal | copper-sulfide | 9 | 0 | fixpoint | 0
citronellal | eugenol | 400 | 449 | capped | 147
citronellal | glucose | 400 | 737 | capped | 371
citronellal | gypsum | 400 | 877 | capped | 277
citronellal | indican | 400 | 480 | capped | 365
citronellal | iron-ii-sulfate | 9 | 0 | fixpoint | 0
citronellal | iron-ii-sulfide | 10 | 0 | fixpoint | 0
citronellal | iron-iii-oxide | 8 | 0 | fixpoint | 0
citronellal | lead-sulfide | 9 | 0 | fixpoint | 0
citronellal | lignin-monomer-coniferyl | 400 | 469 | capped | 30
citronellal | magnesium-carbonate | 10 | 0 | fixpoint | 0
citronellal | mercury-sulfide | 9 | 0 | fixpoint | 0
citronellal | nitrogen | 9 | 0 | fixpoint | 0
citronellal | oleic-acid | 9 | 0 | fixpoint | 0
citronellal | oxygen | 9 | 0 | fixpoint | 0
citronellal | potassium-nitrate | 10 | 0 | fixpoint | 0
citronellal | salicin | 400 | 630 | capped | 365
citronellal | silver | 9 | 0 | fixpoint | 0
citronellal | sodium-chloride | 10 | 0 | fixpoint | 0
citronellal | sodium-nitrate | 10 | 0 | fixpoint | 0
citronellal | starch-unit | 400 | 737 | capped | 371
citronellal | sucrose | 400 | 402 | capped | 354
citronellal | sulfur-s8 | 9 | 0 | fixpoint | 0
